context_participant,context_block_code,subject,grade,blockContent,language,accommodation,modality,context_accession_number,context_accession_number,act_seq_acc,n_enter_item,n_enter_block,n_update_singleselect,n_next_button,n_trigger_scroll,n_change_language,n_clear_singleselect,n_click_itemtab,n_in_zoom,n_out_zoom,n_change_theme,n_activate_tts,n_speak_tts,n_deactivate_tts,n_top_button,n_more_button,n_bottomreached_scroll,n_update_textinput,n_activate_scratchwork,n_start_scratchwork,n_end_scratchwork,n_update_scratchwork,n_clear_scratchwork,n_deactivate_scratchwork,n_highlightmode_scratchwork,n_drawmode_scratchwork,n_erasemode_scratchwork,n_previous_button,n_show_help,n_hide_help,n_hide_timer,n_show_timer,enter_item_bool,enter_block_bool,update_singleselect_bool,next_button_bool,trigger_scroll_bool,change_language_bool,clear_singleselect_bool,click_itemtab_bool,i_bool,out_zoom_bool,change_theme_bool,activate_tts_bool,speak_tts_bool,deactivate_tts_bool,top_button_bool,more_button_bool,bottomreached_scroll_bool,update_textinput_bool,activate_scratchwork_bool,start_scratchwork_bool,end_scratchwork_bool,update_scratchwork_bool,clear_scratchwork_bool,deactivate_scratchwork_bool,highlightmode_scratchwork_bool,drawmode_scratchwork_bool,erasemode_scratchwork_bool,previous_button_bool,show_help_bool,hide_help_bool,hide_timer_bool,show_timer_bool,n_modalitychanged,modalitychanged_bool
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['update_singleselect', 'update_singleselect', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'update_textinput', 'next_button', 'click_itemtab']",0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['change_language', 'deactivate_tts', 'change_language', 'activate_tts', 'deactivate_tts', 'update_textinput', 'update_textinput', 'next_button', 'click_itemtab', 'click_itemtab']",0,0,0,1,0,2,0,2,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,True
HP26SG,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH152990,VH152990,"['activate_tts', 'speak_tts', 'speak_tts', 'update_singleselect', 'update_singleselect', 'update_textinput']",0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'top_button', 'trigger_scroll', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
KB28LK,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['activate_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'speak_tts', 'deactivate_tts', 'update_singleselect', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'activate_tts', 'speak_tts', 'deactivate_tts', 'update_textinput', 'click_itemtab']",0,0,1,0,1,0,0,1,0,0,0,2,24,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
KH39RF,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['update_singleselect', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'update_textinput', 'update_singleselect', 'update_textinput', 'next_button']",0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
MX63FB,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True
MX63FB,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['update_singleselect', 'update_textinput', 'next_button']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
VJ64BM,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH152990,VH152990,"['click_itemtab', 'update_singleselect', 'more_button', 'bottomreached_scroll', 'trigger_scroll', 'update_textinput', 'update_textinput', 'update_textinput', 'next_button']",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH152990,VH152990,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
YT26XR,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,touch,VH152990,VH152990,"['update_textinput', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'update_singleselect', 'next_button', 'update_textinput', 'next_button']",0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,keyboard,VH153483,VH153483,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True
HB73RY,2418SC2R11CLID30DX,Science,8th Grade,Cog,Bilingual Directions Only,no accom,mouse,VH153483,VH153483,"['update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'update_textinput', 'next_button']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,True
